2025-06-27 01:03:55,355 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/robsonribeiroft/projects/PPD_Project_Broker/composeApp/src/desktopMain/kotlin/com/robsonribeiro/ppd_project_broker/komms/apache-activemq-5.19.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2025-06-27 01:03:55,356 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[/Users/robsonribeiroft/projects/PPD_Project_Broker/composeApp/src/desktopMain/kotlin/com/robsonribeiro/ppd_project_broker/komms/apache-activemq-5.19.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2025-06-27 01:03:55,368 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | main
2025-06-27 01:03:55,368 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | main
2025-06-27 01:03:55,432 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | main
2025-06-27 01:03:55,432 | INFO  | PListStore:[/Users/robsonribeiroft/projects/PPD_Project_Broker/composeApp/src/desktopMain/kotlin/com/robsonribeiro/ppd_project_broker/komms/apache-activemq-5.19.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2025-06-27 01:03:55,432 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | main
2025-06-27 01:03:55,432 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | main
2025-06-27 01:03:55,551 | INFO  | Apache ActiveMQ 5.19.0 (localhost, ID:Mac-54678-1750997035435-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2025-06-27 01:03:55,557 | INFO  | Listening for connections at: tcp://Mac:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2025-06-27 01:03:55,557 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2025-06-27 01:03:55,559 | INFO  | Listening for connections at: amqp://Mac:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2025-06-27 01:03:55,559 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2025-06-27 01:03:55,560 | INFO  | Listening for connections at: stomp://Mac:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2025-06-27 01:03:55,560 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2025-06-27 01:03:55,561 | INFO  | Listening for connections at: mqtt://Mac:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2025-06-27 01:03:55,561 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2025-06-27 01:03:55,562 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2025-06-27 01:03:55,589 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
